Assay,Call,MatchType,Pattern,Note,Enabled,Priority
MRSA NxG IUO,NEG,EQUALS,MRSA NOT DETECTED,Spec MRSA NxG SampleType 0,TRUE,9000
MRSA NxG RUO,POS,EQUALS,MRSA DETECTED,Spec MRSA NxG SampleType 1,TRUE,9000
MRSA NxG RUO,NEG,EQUALS,MRSA NOT DETECTED,Spec MRSA NxG SampleType 0,TRUE,9000
MRSA-SA ETA,NEG,EQUALS,MRSA NEGATIVE;SA NEGATIVE,Spec MRSA SA SampleType 0,TRUE,9000
MRSA-SA ETA,POS,EQUALS,MRSA POSITIVE;SA POSITIVE,Spec MRSA SA SampleType 1,TRUE,9000
MTB-RIF Ultra v2 RUO,NEG,EQUALS,MTB NOT DETECTED,Spec MTB U SampleType 0,TRUE,9000
MTB-RIF Ultra v2 RUO,POS,REGEX,MTB\ DETECTED\ .*;Rif\ Resistance\ DETECTED,Spec MTB U SampleType 1 (wildcard),TRUE,9000
MTB-RIF Ultra v2 RUO,POS,REGEX,MTB\ DETECTED\ .*;Rif\ Resistance\ NOT\ DETECTED,Spec MTB U SampleType 2 (wildcard),TRUE,9000
HCV Viral Load RUO,NEG,EQUALS,HCV NOT DETECTED,Spec HCV VL SampleType 0,TRUE,9000
HCV VL WB RUO,POS,REGEX,HCV\ DETECTED\ .*\ IU/mL\ \(log\ .*\..*\),Spec HCV FS SampleType 1 (wildcard),TRUE,9000
HCV VL WB RUO,NEG,EQUALS,HCV NOT DETECTED,Spec HCV FS SampleType 0,TRUE,9000
HCV IUO,NEG,EQUALS,HCV NOT DETECTED,Spec GX HCV SampleType 0,TRUE,9000
CARBA-R IUO,POS,EQUALS,IMP1 DETECTED;VIM DETECTED;NDM DETECTED;KPC DETECTED;OXA48 DETECTED,Spec CARBA SampleType 1,TRUE,9000
CARBA-R IUO,NEG,EQUALS,IMP1 NOT DETECTED;VIM NOT DETECTED;NDM NOT DETECTED;KPC NOT DETECTED;OXA48 NOT DETECTED,Spec CARBA SampleType 0,TRUE,9000
CARBA-R RUO,POS,EQUALS,IMP DETECTED;VIM DETECTED;NDM DETECTED;KPC DETECTED;OXA48 DETECTED,Spec CARBA SampleType 1,TRUE,9000
CARBA-R RUO,NEG,EQUALS,IMP NOT DETECTED;VIM NOT DETECTED;NDM NOT DETECTED;KPC NOT DETECTED;OXA48 NOT DETECTED,Spec CARBA SampleType 0,TRUE,9000
Carba-R BEU IUO,POS,EQUALS,IMP DETECTED;VIM DETECTED;NDM DETECTED;KPC DETECTED;OXA48 DETECTED,Spec CARBA SampleType 1,TRUE,9000
Carba-R BEU IUO,NEG,EQUALS,IMP NOT DETECTED;VIM NOT DETECTED;NDM NOT DETECTED;KPC NOT DETECTED;OXA48 NOT DETECTED,Spec CARBA SampleType 0,TRUE,9000
Carba-R BEU RUO,POS,EQUALS,IMP DETECTED;VIM DETECTED;NDM DETECTED;KPC DETECTED;OXA48 DETECTED,Spec CARBA SampleType 1,TRUE,9000
Carba-R BEU RUO,NEG,EQUALS,IMP NOT DETECTED;VIM NOT DETECTED;NDM NOT DETECTED;KPC NOT DETECTED;OXA48 NOT DETECTED,Spec CARBA SampleType 0,TRUE,9000
Ebola RUO,POS,EQUALS,Ebola GP DETECTED;Ebola NP DETECTED,Spec EBOLA SampleType 1,TRUE,9000
Ebola RUO,NEG,EQUALS,Ebola GP NOT DETECTED;Ebola NP NOT DETECTED,Spec EBOLA SampleType 0,TRUE,9000
GBS LB RUO,NEG,EQUALS,GBS NEGATIVE,Spec GBS XC SampleType 0,TRUE,9000
GBS LB RUO,POS,EQUALS,GBS POSITIVE,Spec GBS XC SampleType 1,TRUE,9000
GBS LB XC IUO,NEG,EQUALS,GBS NEGATIVE,Spec GBS XC SampleType 0,TRUE,9000
GBS LB XC IUO,POS,EQUALS,GBS POSITIVE,Spec GBS XC SampleType 1,TRUE,9000
GI Panel IUO,NEG,EQUALS,Campylobacter NEGATIVE;Salmonella NEGATIVE;STEC stx1 NEGATIVE;STEC stx2 NEGATIVE;Shigella EIEC NEGATIVE;V. cholerae NEGATIVE;V. parahaemolyticus NEGATIVE;Yersinia NEGATIVE;Cryptosporidium NEGATIVE;Giardia NEGATIVE;Norovirus NEGATIVE,Spec GI Panel SampleType 0,TRUE,9000
GI Panel IUO,POS,EQUALS,Campylobacter POSITIVE;Salmonella POSITIVE;STEC stx1 POSITIVE;STEC stx2 POSITIVE;Shigella EIEC POSITIVE;V. cholerae POSITIVE;V. parahaemolyticus POSITIVE;Yersinia POSITIVE;Cryptosporidium POSITIVE;Giardia POSITIVE;Norovirus POSITIVE,Spec GI Panel SampleType 1,TRUE,9000
GI Panel RUO,NEG,EQUALS,Campylobacter NEGATIVE;Salmonella NEGATIVE;STEC stx1 NEGATIVE;STEC stx2 NEGATIVE;Shigella EIEC NEGATIVE;V. cholerae NEGATIVE;V. parahaemolyticus NEGATIVE;Yersinia NEGATIVE;Cryptosporidium NEGATIVE;Giardia NEGATIVE;Norovirus NEGATIVE,Spec GI Panel SampleType 0,TRUE,9000
GI Panel RUO,POS,EQUALS,Campylobacter POSITIVE;Salmonella POSITIVE;STEC stx1 POSITIVE;STEC stx2 POSITIVE;Shigella EIEC POSITIVE;V. cholerae POSITIVE;V. parahaemolyticus POSITIVE;Yersinia POSITIVE;Cryptosporidium POSITIVE;Giardia POSITIVE;Norovirus POSITIVE,Spec GI Panel SampleType 1,TRUE,9000
HCV IUO,POS,EQUALS,HCV DETECTED,Spec GX HCV SampleType 1,TRUE,9000
MTB-XDR IUO,POS,EQUALS,MTB DETECTED;INH Resistance DETECTED;FLQ Resistance DETECTED;AMK Resistance DETECTED;KAN Resistance DETECTED;CAP Resistance DETECTED;ETH Resistance DETECTED,Spec MTB XDR SampleType 2,TRUE,9000
Xpress SARS-CoV-2_Flu_RSV plus,POS,EQUALS,SARS-CoV-2 POSITIVE;Flu A POSITIVE;Flu B POSITIVE;RSV POSITIVE,Spec FLUVID plus SampleType 1,TRUE,9000
MTB-XDR IUO,NEG,EQUALS,MTB NOT DETECTED,Spec MTB XDR SampleType 0,TRUE,9000
Xpert C.difficile BT,NEG,EQUALS,Toxigenic C.diff NEG;Binary Toxin NEG;027 NEG,Spec C.DIFF SampleType 0,TRUE,9000
Xpert C.difficile G3,NEG,EQUALS,Toxigenic C.diff NEGATIVE;027 PRESUMPTIVE NEG,Spec C.DIFF SampleType 0,TRUE,9000
Xpert C.difficile G3,POS,EQUALS,Toxigenic C.diff POSITIVE;027 PRESUMPTIVE POS,Spec C.DIFF SampleType 1,TRUE,9000
Xpert CT_CE,POS,EQUALS,CT DETECTED,Spec CTNG SampleType 1,TRUE,9000
Xpert CT_CE,NEG,EQUALS,CT NOT DETECTED,Spec CTNG SampleType 0,TRUE,9000
Xpert CT_NG,POS,EQUALS,CT DETECTED;NG DETECTED,Spec CTNG SampleType 1,TRUE,9000
Xpert CT_NG,NEG,EQUALS,CT NOT DETECTED;NG NOT DETECTED,Spec CTNG SampleType 0,TRUE,9000
Xpert Carba-R,POS,EQUALS,IMP1 DETECTED;VIM DETECTED;NDM DETECTED;KPC DETECTED;OXA48 DETECTED,Spec CARBA SampleType 1,TRUE,9000
Xpert Carba-R,NEG,EQUALS,IMP1 NOT DETECTED;VIM NOT DETECTED;NDM NOT DETECTED;KPC NOT DETECTED;OXA48 NOT DETECTED,Spec CARBA SampleType 0,TRUE,9000
Xpert Ebola CE-IVD,POS,EQUALS,Ebola GP DETECTED;Ebola NP DETECTED,Spec EBOLA SampleType 1,TRUE,9000
Xpert Ebola CE-IVD,NEG,EQUALS,Ebola GP NOT DETECTED;Ebola NP NOT DETECTED,Spec EBOLA SampleType 0,TRUE,9000
Xpert Ebola EUA,POS,EQUALS,Ebola GP DETECTED;Ebola NP DETECTED,Spec EBOLA SampleType 1,TRUE,9000
Xpert Ebola EUA,NEG,EQUALS,Ebola GP NOT DETECTED;Ebola NP NOT DETECTED,Spec EBOLA SampleType 0,TRUE,9000
Xpert GBS LB XC,NEG,EQUALS,GBS NEGATIVE,Spec GBS XC SampleType 0,TRUE,9000
Xpert GBS LB XC,POS,EQUALS,GBS POSITIVE,Spec GBS XC SampleType 1,TRUE,9000
Xpert GI Panel,NEG,EQUALS,Campylobacter NEGATIVE;Salmonella NEGATIVE;STEC stx1 NEGATIVE;STEC stx2 NEGATIVE;Shigella EIEC NEGATIVE;V. cholerae NEGATIVE;V. parahaemolyticus NEGATIVE;Yersinia NEGATIVE;Cryptosporidium NEGATIVE;Giardia NEGATIVE;Norovirus NEGATIVE,Spec GI Panel SampleType 0,TRUE,9000
Xpert GI Panel,POS,EQUALS,Campylobacter POSITIVE;Salmonella POSITIVE;STEC stx1 POSITIVE;STEC stx2 POSITIVE;Shigella EIEC POSITIVE;V. cholerae POSITIVE;V. parahaemolyticus POSITIVE;Yersinia POSITIVE;Cryptosporidium POSITIVE;Giardia POSITIVE;Norovirus POSITIVE,Spec GI Panel SampleType 1,TRUE,9000
Xpert GI Panel CE-IVD,NEG,EQUALS,Campylobacter NEGATIVE;Salmonella NEGATIVE;STEC stx1 NEGATIVE;STEC stx2 NEGATIVE;Shigella EIEC NEGATIVE;V. cholerae NEGATIVE;V. parahaemolyticus NEGATIVE;Yersinia NEGATIVE;Cryptosporidium NEGATIVE;Giardia NEGATIVE;Norovirus NEGATIVE,Spec GI Panel SampleType 0,TRUE,9000
Xpert GI Panel CE-IVD,POS,EQUALS,Campylobacter POSITIVE;Salmonella POSITIVE;STEC stx1 POSITIVE;STEC stx2 POSITIVE;Shigella EIEC POSITIVE;V. cholerae POSITIVE;V. parahaemolyticus POSITIVE;Yersinia POSITIVE;Cryptosporidium POSITIVE;Giardia POSITIVE;Norovirus POSITIVE,Spec GI Panel SampleType 1,TRUE,9000
Xpert HBV Viral Load,NEG,EQUALS,HBV NOT DETECTED,Spec HBV VL SampleType 0,TRUE,9000
Xpert C.difficile BT,POS,EQUALS,Toxigenic C.diff POS;Binary Toxin POS;027 PRESUMPTIVE POS,Spec C.DIFF SampleType 1,TRUE,9000
Xpert C.diff-Epi,POS,EQUALS,Toxigenic C.diff POSITIVE;027 PRESUMPTIVE POSITIVE,Spec C.DIFF SampleType 1,TRUE,9000
MTB-XDR RUO,POS,EQUALS,MTB DETECTED;INH Resistance DETECTED;FLQ Resistance DETECTED;AMK Resistance DETECTED;KAN Resistance DETECTED;CAP Resistance DETECTED;ETH Resistance DETECTED,Spec MTB XDR SampleType 2,TRUE,9000
Xpert C.diff-Epi,NEG,EQUALS,Toxigenic C.diff NEGATIVE;027 PRESUMPTIVE NEGATIVE,Spec C.DIFF SampleType 0,TRUE,9000
MTB-XDR RUO,POS,EQUALS,MTB DETECTED;INH Resistance NOT DETECTED;FLQ Resistance NOT DETECTED;AMK Resistance NOT DETECTED;KAN Resistance NOT DETECTED;CAP Resistance NOT DETECTED;ETH Resistance NOT DETECTED,Spec MTB XDR SampleType 1,TRUE,9000
MTB-XDR RUO,NEG,EQUALS,MTB NOT DETECTED,Spec MTB XDR SampleType 0,TRUE,9000
Respiratory Panel IUO,NEG,EQUALS,Adenovirus NEGATIVE;Coronavirus NEGATIVE;SARS-CoV-2 NEGATIVE;Flu A NEGATIVE;Flu B NEGATIVE;hMPV NEGATIVE;Parainfluenza NEGATIVE;Rhino-Enterovirus NEGATIVE;RSV NEGATIVE;B. parapertussis NEGATIVE;B. pertussis NEGATIVE;Chlam. pneumoniae NEGATIVE;Myco. pneumoniae NEGATIVE,Spec Respiratory Panel SampleType 0,TRUE,9000
Respiratory Panel RUO,NEG,EQUALS,Adenovirus NEGATIVE;Coronavirus NEGATIVE;SARS-CoV-2 NEGATIVE;Flu A NEGATIVE;Flu B NEGATIVE;hMPV NEGATIVE;Parainfluenza NEGATIVE;Rhino-Enterovirus NEGATIVE;RSV NEGATIVE;B. parapertussis NEGATIVE;B. pertussis NEGATIVE;Chlam. pneumoniae NEGATIVE;Myco. pneumoniae NEGATIVE,Spec Respiratory Panel SampleType 0,TRUE,9000
Respiratory panel,NEG,EQUALS,Adenovirus NEGATIVE;Coronavirus NEGATIVE;SARS-CoV-2 NEGATIVE;Flu A NEGATIVE;Flu B NEGATIVE;hMPV NEGATIVE;Parainfluenza NEGATIVE;Rhino-Enterovirus NEGATIVE;RSV NEGATIVE;B. parapertussis NEGATIVE;B. pertussis NEGATIVE;Chlam. pneumoniae NEGATIVE;Myco. pneumoniae NEGATIVE,Spec Respiratory Panel SampleType 0,TRUE,9000
Respiratory panel CE-IVD,NEG,EQUALS,Adenovirus NEGATIVE;Coronavirus NEGATIVE;SARS-CoV-2 NEGATIVE;Flu A NEGATIVE;Flu B NEGATIVE;hMPV NEGATIVE;Parainfluenza NEGATIVE;Rhino-Enterovirus NEGATIVE;RSV NEGATIVE;B. parapertussis NEGATIVE;B. pertussis NEGATIVE;Chlam. pneumoniae NEGATIVE;Myco. pneumoniae NEGATIVE,Spec Respiratory Panel SampleType 0,TRUE,9000
Respiratory panel UKCA-IVD,NEG,EQUALS,Adenovirus NEGATIVE;Coronavirus NEGATIVE;SARS-CoV-2 NEGATIVE;Flu A NEGATIVE;Flu B NEGATIVE;hMPV NEGATIVE;Parainfluenza NEGATIVE;Rhino-Enterovirus NEGATIVE;RSV NEGATIVE;B. parapertussis NEGATIVE;B. pertussis NEGATIVE;Chlam. pneumoniae NEGATIVE;Myco. pneumoniae NEGATIVE,Spec Respiratory Panel SampleType 0,TRUE,9000
SARS-CoV-2_Flu_RSV plus IUO,NEG,EQUALS,SARS-CoV-2 NEGATIVE;Flu A NEGATIVE;Flu B NEGATIVE;RSV NEGATIVE,Spec FLUVID plus SampleType 0,TRUE,9000
SARS-CoV-2_Flu_RSV plus IUO,POS,EQUALS,SARS-CoV-2 POSITIVE;Flu A POSITIVE;Flu B POSITIVE;RSV POSITIVE,Spec FLUVID plus SampleType 1,TRUE,9000
SARS-CoV-2_Flu_RSV plus RUO,NEG,EQUALS,SARS-CoV-2 NEGATIVE;Flu A NEGATIVE;Flu B NEGATIVE;RSV NEGATIVE,Spec FLUVID plus SampleType 0,TRUE,9000
SARS-CoV-2_Flu_RSV plus RUO,POS,EQUALS,SARS-CoV-2 POSITIVE;Flu A POSITIVE;Flu B POSITIVE;RSV POSITIVE,Spec FLUVID plus SampleType 1,TRUE,9000
SARS-CoV-2_Flu_RSV_plus,NEG,EQUALS,SARS-CoV-2 NEGATIVE;Flu A NEGATIVE;Flu B NEGATIVE;RSV NEGATIVE,Spec FLUVID plus SampleType 0,TRUE,9000
SARS-CoV-2_Flu_RSV_plus,POS,EQUALS,SARS-CoV-2 POSITIVE;Flu A POSITIVE;Flu B POSITIVE;RSV POSITIVE,Spec FLUVID plus SampleType 1,TRUE,9000
TAP Panel IUO,POS,EQUALS,Ft DETECTED;Ba DETECTED;Yp DETECTED,Spec TAP Panel SampleType 1,TRUE,9000
TAP Panel IUO,NEG,EQUALS,Ft NOT DETECTED;Ba NOT DETECTED;Yp NOT DETECTED,Spec TAP Panel SampleType 0,TRUE,9000
TAP Panel RUO,POS,EQUALS,Ft DETECTED;Ba DETECTED;Yp DETECTED,Spec TAP Panel SampleType 1,TRUE,9000
TAP Panel RUO,NEG,EQUALS,Ft NOT DETECTED;Ba NOT DETECTED;Yp NOT DETECTED,Spec TAP Panel SampleType 0,TRUE,9000
XP Flu-RSV RUO,NEG,EQUALS,Flu A NEGATIVE;Flu B NEGATIVE;RSV NEGATIVE,Spec FLU RSV SampleType 0,TRUE,9000
XP Flu-RSV RUO,POS,EQUALS,Flu A POSITIVE;Flu B POSITIVE;RSV POSITIVE,Spec FLU RSV SampleType 1,TRUE,9000
